amount,transaction_type,location,transaction_hour,device_type,transaction_freq,account_age_days,failed_attempts,is_new_device
11609.34,atm_withdrawal,domestic,9,desktop,7,2835,1,0
6583.18,crypto_transfer,domestic,15,tablet,10,2807,0,1
12878.97,online_purchase,local,16,mobile,4,1323,0,1
10460.52,atm_withdrawal,domestic,8,tablet,2,838,1,1
1412.66,crypto_transfer,local,6,desktop,9,1618,0,0
14634.34,crypto_transfer,domestic,12,desktop,8,1190,0,1
11417.1,atm_withdrawal,domestic,16,mobile,7,1886,0,1
11790.96,pos_payment,local,15,desktop,9,3590,1,0
1921.7,online_purchase,local,15,mobile,9,1259,1,0
6755.79,online_purchase,domestic,11,tablet,7,1662,0,0
5561.97,atm_withdrawal,local,9,tablet,10,2848,1,1
13901.47,crypto_transfer,domestic,13,desktop,8,2217,0,1
9657.98,pos_payment,domestic,9,tablet,8,859,1,0
12341.42,atm_withdrawal,domestic,16,tablet,5,1203,0,1
6651.21,atm_withdrawal,local,8,mobile,2,3461,0,1
3408.58,online_purchase,domestic,10,mobile,4,1032,0,1
8318.77,atm_withdrawal,domestic,13,mobile,9,2585,1,1
957.26,online_purchase,local,12,mobile,8,3044,1,1
12414.47,online_purchase,local,14,desktop,5,1506,1,0
9474.97,pos_payment,local,12,desktop,7,2847,0,1
11371.32,online_purchase,local,18,desktop,4,1227,0,0
5317.89,online_purchase,domestic,17,mobile,4,1562,0,1
14560.47,pos_payment,domestic,18,tablet,10,1641,0,0
13396.82,atm_withdrawal,domestic,14,tablet,6,3640,0,0
11675.75,atm_withdrawal,local,15,desktop,4,1357,1,1
2919.58,online_purchase,local,14,mobile,6,1108,1,1
7000.82,online_purchase,local,12,desktop,5,3433,1,1
657.06,atm_withdrawal,domestic,10,tablet,8,1204,0,1
2314.34,pos_payment,domestic,14,tablet,10,3298,0,1
10245.73,atm_withdrawal,local,6,mobile,7,2630,1,1
11171.43,pos_payment,domestic,6,tablet,7,2415,0,1
14512.65,pos_payment,local,18,tablet,5,2924,1,0
